run_name,score_name,fold,heldout_pos_user,n_test_rows,n_test_pos_rows,day_pr_auc,day_roc_auc,day_top1_recall,n_test_users,n_test_pos_users,user_pr_auc,user_roc_auc,user_top1pct_recall,heldout_user_rank
qwen3_8b_r42_fold_aligned,neg_delta_nll,33,KLH0596,270107,1,4.0155965771054775e-06,0.07803603029921591,0.0,801,1,0.001364256480218281,0.08499999999999996,0.0,733
qwen3_8b_r42_fold_aligned,adapted_nll,34,KPC0073,269899,5,0.0005126786848894224,0.9777608987232025,0.2,801,1,0.05555555555555555,0.97875,0.0,18
qwen3_8b_r42_fold_aligned,base_nll,34,KPC0073,269899,5,1.6245232188945233e-05,0.33670033420528056,0.0,801,1,0.0014367816091954023,0.13124999999999998,0.0,696
qwen3_8b_r42_fold_aligned,neg_delta_nll,34,KPC0073,269899,5,1.277566677097177e-05,0.16871512519729967,0.0,801,1,0.0013089005235602095,0.04625000000000001,0.0,764
qwen3_8b_r42_fold_aligned,adapted_nll,35,KRL0501,268583,38,0.00124864731980741,0.9455248605790856,0.0,801,1,0.018518518518518517,0.93375,0.0,54
qwen3_8b_r42_fold_aligned,base_nll,35,KRL0501,268583,38,0.006371344004675477,0.9869304958200674,0.34210526315789475,801,1,0.03125,0.96125,0.0,32
qwen3_8b_r42_fold_aligned,neg_delta_nll,35,KRL0501,268583,38,0.00011685363633680055,0.3800334355410394,0.0,801,1,0.0014104372355430183,0.11499999999999999,0.0,709
qwen3_8b_r42_fold_aligned,adapted_nll,36,LCC0819,270571,39,0.005471415092876761,0.9873244532046448,0.358974358974359,801,1,0.08333333333333333,0.98625,0.0,12
qwen3_8b_r42_fold_aligned,base_nll,36,LCC0819,270571,39,0.00031945473921711866,0.7832872607705159,0.0,801,1,0.0038314176245210726,0.675,0.0,261
qwen3_8b_r42_fold_aligned,neg_delta_nll,36,LCC0819,270571,39,0.00011050033880304458,0.3352993550789006,0.0,801,1,0.001358695652173913,0.08125000000000004,0.0,736
qwen3_8b_r42_fold_aligned,adapted_nll,37,LJR0523,270420,10,0.054659600506714937,0.9939318072556488,0.8,801,1,0.5,0.99875,1.0,2
qwen3_8b_r42_fold_aligned,base_nll,37,LJR0523,270420,10,8.214746160909382e-05,0.7010750342073149,0.0,801,1,0.008771929824561403,0.85875,0.0,114
qwen3_8b_r42_fold_aligned,neg_delta_nll,37,LJR0523,270420,10,2.726930354505026e-05,0.2757723456972745,0.0,801,1,0.0013351134846461949,0.06499999999999995,0.0,749
qwen3_8b_r42_fold_aligned,adapted_nll,38,LQC0479,268818,6,0.001439017702322137,0.988495677276312,0.5,801,1,0.08333333333333333,0.98625,0.0,12
qwen3_8b_r42_fold_aligned,base_nll,38,LQC0479,268818,6,4.354859634136817e-05,0.6058472092019701,0.0,801,1,0.0029411764705882353,0.5762499999999999,0.0,340
qwen3_8b_r42_fold_aligned,neg_delta_nll,38,LQC0479,268818,6,1.62803551708886e-05,0.23127563749634192,0.0,801,1,0.0013297872340425532,0.06125000000000003,0.0,752
qwen3_8b_r42_fold_aligned,adapted_nll,39,MAR0955,268710,4,0.003483512332579417,0.9822663989639233,0.25,801,1,0.3333333333333333,0.9975,1.0,3
qwen3_8b_r42_fold_aligned,base_nll,39,MAR0955,268710,4,0.0001415237050078171,0.6699780615244915,0.25,801,1,0.005025125628140704,0.7525,0.0,199
qwen3_8b_r42_fold_aligned,neg_delta_nll,39,MAR0955,268710,4,1.4264152379891634e-05,0.3508807023289394,0.0,801,1,0.0013386880856760374,0.0675,0.0,747
qwen3_8b_r42_fold_aligned,adapted_nll,40,MAS0025,269444,2,0.000180205817393712,0.9699842637747642,0.0,801,1,0.037037037037037035,0.9675,0.0,27
qwen3_8b_r42_fold_aligned,base_nll,40,MAS0025,269444,2,1.285141244386525e-05,0.5781763793321012,0.0,801,1,0.001589825119236884,0.21499999999999997,0.0,629
qwen3_8b_r42_fold_aligned,neg_delta_nll,40,MAS0025,269444,2,8.593827720835888e-06,0.35240051662324356,0.0,801,1,0.0013513513513513514,0.07625000000000004,0.0,740
qwen3_8b_r42_fold_aligned,adapted_nll,41,MCF0600,269924,3,0.00010975985012369955,0.9349476328259009,0.0,801,1,0.027777777777777776,0.95625,0.0,36
qwen3_8b_r42_fold_aligned,base_nll,41,MCF0600,269924,3,8.694084970064523e-06,0.17817064993090576,0.0,801,1,0.0013054830287206266,0.043749999999999956,0.0,766
qwen3_8b_r42_fold_aligned,neg_delta_nll,41,MCF0600,269924,3,8.469851760134176e-06,0.15587153278181393,0.0,801,1,0.0013280212483399733,0.06000000000000005,0.0,753
qwen3_8b_r42_fold_aligned,adapted_nll,42,MDH0580,269940,41,0.0010523933404396333,0.9330564396311213,0.0,801,1,0.01818181818181818,0.9325,0.0,55
qwen3_8b_r42_fold_aligned,base_nll,42,MDH0580,269940,41,0.0004860685410294497,0.8378864668346127,0.0,801,1,0.003861003861003861,0.6775,0.0,259
qwen3_8b_r42_fold_aligned,neg_delta_nll,42,MDH0580,269940,41,0.00012366694425992132,0.3752299753683831,0.0,801,1,0.0014265335235378032,0.125,0.0,701
qwen3_8b_r42_fold_aligned,adapted_nll,43,MOS0047,270606,40,0.0008290317351654057,0.9108028170575756,0.0,801,1,0.013157894736842105,0.90625,0.0,76
qwen3_8b_r42_fold_aligned,base_nll,43,MOS0047,270606,40,7.665655877397583e-05,0.026478474752925352,0.0,801,1,0.001287001287001287,0.030000000000000027,0.0,777
